PTC Loader version 1.6.5_TEST2
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:855| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:858| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:861| TCP-ULP file Request pkt
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:864| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:867| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:39:870| linux;TBD Model;TBD Part;TBD Serial;
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:873| SendFileData
MSG| Operating system   | 2015-10-15 06:49:39:875| linux
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:878| ClientConnection_Received: MessageType.FileComplete 
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:881| SendFileInfo Name:app.ulp-server.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:40:018| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:40:021| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:40:025| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:40:028| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:40:797| TCP-ULP file Request pkt
TRS| 10.255.255.11:35907| 2015-10-15 06:49:40:801| TCP file request received from IP address: 10.255.255.11
TRS| 10.255.255.10:56109| 2015-10-15 06:49:40:804| ClientConnection_Received: MessageType.FileComplete 
MSG| Description        | 2015-10-15 06:49:40:809| linux;TBD Model;TBD Part;TBD Serial;
